seed,uniprot,n_residues,entropy,entropy_uniform,entropy_ratio,top1_pos,top1_pos_pct,top1_mass,top5pct_mass,top10pct_mass,top20pct_mass
42,Q77J78,461,6.130775451660156,6.133398042996649,0.999572408097745,35,0.07592190889370933,0.0029056333005428314,0.06063944101333618,0.11660194396972656,0.223680779337883
42,A0A1L9P8I4,608,6.4043989181518555,6.410174881966167,0.9990989381848908,453,0.7450657894736842,0.0023692408576607704,0.062294330447912216,0.12190277874469757,0.23424634337425232
42,O25046,409,6.009669303894043,6.013715156042802,0.9993272291680304,319,0.7799511002444988,0.0032700630836188793,0.05888841673731804,0.11696688085794449,0.22667860984802246
42,P08311,255,5.534512519836426,5.541263545158426,0.998781681241655,104,0.40784313725490196,0.005101254675537348,0.0602499283850193,0.11822668462991714,0.2274639755487442
42,Q65MI2,562,6.325710296630859,6.331501849893691,0.9990852797013826,374,0.6654804270462633,0.0024010303895920515,0.061689592897892,0.11987908184528351,0.2316700518131256
42,Q8A6L0,662,6.487709999084473,6.495265555937008,0.9988367593614969,471,0.7114803625377644,0.002159422030672431,0.06370794028043747,0.12321961671113968,0.2361171543598175
42,Q8L7J2,521,6.249377727508545,6.255750041753367,0.998981366870113,282,0.5412667946257198,0.0025342744775116444,0.06271020323038101,0.12144441902637482,0.23355548083782196
42,P12822,1022,6.9262375831604,6.92951677076365,0.9995267797579934,467,0.4569471624266145,0.0012758566299453378,0.059025075286626816,0.11473283171653748,0.2227984070777893
42,P19531,719,6.574041366577148,6.577861357721047,0.9994192654821746,399,0.5549374130737135,0.0017787439282983541,0.06036552041769028,0.11720298230648041,0.2261640727519989
42,P37095,427,6.050944805145264,6.056784013228625,0.9990359226826303,256,0.5995316159250585,0.0030698843766003847,0.06118274852633476,0.12165144085884094,0.23117582499980927
42,Q9X015,255,5.537559986114502,5.541263545158426,0.9993316399745759,136,0.5333333333333333,0.004861610010266304,0.05999709665775299,0.11634651571512222,0.22243428230285645
42,Q8ZRM2,251,5.521208763122559,5.5254529391317835,0.9992318863166552,200,0.796812749003984,0.0050332737155258656,0.06187408044934273,0.11582963913679123,0.22501419484615326
42,D9Q1R5,187,5.225159645080566,5.231108616854587,0.9988627703590682,121,0.6470588235294118,0.007073679473251104,0.0599694661796093,0.12237267941236496,0.2303062528371811
42,P0AFC0,150,5.006567478179932,5.0106352940962555,0.9991881636404236,34,0.22666666666666666,0.008203685283660889,0.0633617714047432,0.11522570252418518,0.2226579636335373
42,Q9NQW7,623,6.428884506225586,6.434546518787453,0.9991200603577369,33,0.052969502407704656,0.0021974605042487383,0.06247372180223465,0.1208844780921936,0.23363009095191956
42,Q6HA27,698,6.5435991287231445,6.548219102762372,0.9992944686231896,669,0.9584527220630372,0.0018447766778990626,0.06018746271729469,0.11721502989530563,0.2274710088968277
42,A3DM60,696,6.540564060211182,6.54534966033442,0.9992688549318856,444,0.6379310344827587,0.0020441445522010326,0.06296541541814804,0.12130114436149597,0.23041319847106934
42,A0A2I6UI54,837,6.725499153137207,6.729824070489475,0.999357350607242,302,0.36081242532855434,0.001626637764275074,0.06122921407222748,0.119052954018116,0.22815418243408203
42,P80545,267,5.581371307373047,5.58724865840025,0.9989480777773572,81,0.30337078651685395,0.004794219974428415,0.05995923653244972,0.1210881695151329,0.22976014018058777
42,P39900,470,6.149061679840088,6.152732694704104,0.9994033521288554,171,0.3638297872340426,0.002907603047788143,0.06194242089986801,0.11681374907493591,0.2252148985862732
42,Q2I2N4,511,6.23121452331543,6.236369590203704,0.9991733865650984,265,0.5185909980430529,0.002727602142840624,0.06360897421836853,0.11994095146656036,0.23024405539035797
42,X5D761,345,5.838981628417969,5.84354441703136,0.9992191744790896,177,0.5130434782608696,0.003734944388270378,0.06002222001552582,0.11669182032346725,0.22940601408481598
42,Q81EK9,275,5.613637924194336,5.616771097666572,0.9994421753320983,205,0.7454545454545455,0.004530643112957478,0.060316506773233414,0.11682716012001038,0.221822127699852
42,Q8N1Q8,247,5.506564140319824,5.5093883366279774,0.9994873847811059,155,0.6275303643724697,0.005132750142365694,0.05714935064315796,0.1152641773223877,0.2192409783601761
42,Q59514,313,5.742624759674072,5.746203190540153,0.9993772529882041,125,0.3993610223642173,0.004118913318961859,0.06112810596823692,0.11489461362361908,0.22565977275371552
42,C6W7B1,382,5.939864635467529,5.945420608606575,0.9990655037709185,258,0.675392670157068,0.0035087759606540203,0.06125165894627571,0.11890348792076111,0.23000620305538177
